id,city,stn_id,name,longitude,latitude
203,ny,ny3171,Amsterdam Ave & W 82 St,-73.97667321,40.78524672
204,ny,ny3172,W 74 St & Columbus Ave,-73.97754961,40.7785669
205,ny,ny3173,Riverside Blvd & W 67 St,-73.9888858795166,40.777507027548
206,ny,ny3175,W 70 St & Amsterdam Ave,-73.98288594,40.77748046
207,ny,ny3177,W 84 St & Broadway,-73.977112,40.7867947
208,ny,ny3178,Riverside Dr & W 78 St,-73.98362492,40.78414472
209,ny,ny3179,Park Ave & Marcus Garvey Blvd,-73.941342,40.698617
210,ny,ny3184,Paulus Hook,-74.0335519,40.7141454
211,ny,ny3185,City Hall,-74.043845,40.7177325
212,ny,ny3186,Grove St PATH,-74.0431174635887,40.7195861164717
213,ny,ny3187,Warren St,-74.03805095,40.7211236
214,ny,ny319,Fulton St & Broadway,-74.009447,40.711066
215,ny,ny3191,Union St,-74.0836394,40.7182113
216,ny,ny3192,Liberty Light Rail,-74.0557013,40.7112423
217,ny,ny3193,Lincoln Park,-74.0784059464931,40.7246050998869
218,ny,ny3194,McGinley Square,-74.0676221251488,40.7253399253558
219,ny,ny3195,Sip Ave,-74.0639126300812,40.7308970978618
220,ny,ny3196,Riverview Park,-74.0439909,40.7443187
221,ny,ny3198,Heights Elevator,-74.0404433012009,40.7487159453802
222,ny,ny3199,Newport Pkwy,-74.0321082,40.7287448
223,ny,ny320,Leonard St & Church St,-74.005549,40.717571
224,ny,ny3201,Dey St,-74.066921,40.737711
225,ny,ny3202,Newport PATH,-74.0337589,40.7272235
226,ny,ny3203,Hamilton Park,-74.044247311,40.727595966
227,ny,ny3205,JC Medical Center,-74.0496379137039,40.7165397809919
228,ny,ny3206,Hilltop,-74.0575736,40.7311689
229,ny,ny3207,Oakland Ave,-74.0524783,40.7376037
230,ny,ny3209,Brunswick St,-74.0506564,40.7241765
231,ny,ny321,Cadman Plaza E & Red Cross Pl,-73.98971773,40.69991755
232,ny,ny3210,Pershing Field,-74.051788633,40.742677141
233,ny,ny3211,Newark Ave,-74.046304543,40.72152515
234,ny,ny3212,Christ Hospital,-74.050443636,40.734785818
235,ny,ny3213,Van Vorst Park,-74.047726625,40.71848892
236,ny,ny3214,Essex Light Rail,-74.0364857,40.7127742
237,ny,ny3220,5 Corners Library,-74.0595030784607,40.7349610200095
238,ny,ny3221,47 Ave & 31 St,-73.93561,40.743
239,ny,ny3225,Baldwin at Montgomery,-74.0641943,40.7236589
240,ny,ny3226,W 82 St & Central Park West,-73.97137,40.78275
241,ny,ny323,Lawrence St & Willoughby St,-73.98631746,40.69236178
242,ny,ny3231,E 67 St & Park Ave,-73.9659208059311,40.7678008014813
243,ny,ny3232,Bond St & Fulton St,-73.9830426871777,40.6896218879033
244,ny,ny3233,E 48 St & 5 Ave,-73.978059142828,40.7572456791173
245,ny,ny3235,E 41 St & Madison Ave,-73.9799219369888,40.752165280622
246,ny,ny3236,W 42 St & Dyer Ave,-73.9937996864319,40.7589848139963
247,ny,ny324,DeKalb Ave & Hudson Ave,-73.981013,40.689888
248,ny,ny3241,Monroe St & Tompkins Ave,-73.944694,40.686203
249,ny,ny3242,Schermerhorn St & Court St,-73.991833627224,40.6910292567797
250,ny,ny3243,E 58 St & 1 Ave (NE Corner),-73.9622622728348,40.7589238637769
251,ny,ny3244,University Pl & E 8 St,-73.9949034154415,40.7314372408523
252,ny,ny3245,NYCBS DEPOT - DELANCEY,-73.9823305606842,40.7164442313448
253,ny,ny3246,Montague St & Clinton St,-73.9923003315926,40.6942811413973
254,ny,ny3249,Verona Pl & Fulton St,-73.9476791024208,40.6803560840434
255,ny,ny325,E 19 St & 3 Ave,-73.98473765,40.73624527
256,ny,ny3255,8 Ave & W 31 St,-73.9946848154068,40.7505853470215
257,ny,ny3256,Pier 40 - Hudson River Park,-74.011295735836,40.7277140777778
258,ny,ny3259,9 Ave & W 28 St,-73.9992338418961,40.7493702419328
259,ny,ny326,E 11 St & 1 Ave,-73.98426726,40.72953837
260,ny,ny3260,Mercer St & Bleecker St,-73.9966213703155,40.7270636334831
261,ny,ny3263,Cooper Square & Astor Pl,-73.990752696991,40.7295149622495
262,ny,ny3267,Morris Canal,-74.0385255217552,40.7124188237569
263,ny,ny3268,Lafayette Park,-74.0628585219383,40.7134638266919
264,ny,ny3269,Brunswick & 6th,-74.0503889322281,40.7260117296463
265,ny,ny327,Vesey Pl & River Terrace,-74.01658354,40.7153379
266,ny,ny3270,Jersey & 6th St,-74.0455716848373,40.7252891078113
267,ny,ny3272,Jersey & 3rd,-74.0459525585174,40.7233315864644
268,ny,ny3273,Manila & 1st,-74.0428841114044,40.72165072488
269,ny,ny3275,Columbus Drive,-74.0389144420624,40.7183551982321
270,ny,ny3276,Marin Light Rail,-74.042817056179,40.7145840353589
271,ny,ny3277,Communipaw & Berry Lane,-74.0666109323502,40.7143583687043
272,ny,ny3278,Monmouth and 6th,-74.0487903356552,40.725685483629
273,ny,ny3279,Dixon Mills,-74.0499678254128,40.7216301426384
274,ny,ny328,Watts St & Greenwich St,-74.00965965,40.72405549
275,ny,ny3280,Astor Place,-74.071261882782,40.719282200707
276,ny,ny3281,Leonard Gordon Park,-74.0572714805603,40.7459099663156
277,ny,ny3282,5 Ave & E 88 St,-73.95939,40.78307
278,ny,ny3283,W 89 St & Columbus Ave,-73.97041561,40.7882213
279,ny,ny3284,E 88 St & Park Ave,-73.9559590816498,40.78141070019
280,ny,ny3285,W 87 St & Amsterdam Ave,-73.9747,40.78839
281,ny,ny3286,E 89 St & 3 Ave,-73.9521667,40.7806284
282,ny,ny3287,W 87 St & West End Ave,-73.97757,40.789622
283,ny,ny3288,E 88 St & 1 Ave,-73.9488134,40.778301
284,ny,ny3289,W 90 St & Amsterdam Ave,-73.9728891849518,40.7901794809508
285,ny,ny3290,E 89 St & York Ave,-73.946041,40.7779453
286,ny,ny3292,5 Ave & E 93 St,-73.957481,40.7857851
287,ny,ny3293,W 92 St & Broadway,-73.9739,40.7921
288,ny,ny3294,E 91 St & Park Ave,-73.955327,40.7835016
289,ny,ny3295,Central Park W & W 96 St,-73.964839,40.79127
290,ny,ny3296,E 93 St & 2 Ave,-73.9489196240902,40.7824541752799
291,ny,ny3297,6 St & 7 Ave,-73.97988067,40.6686627
292,ny,ny3298,Warren St & Court St,-73.99383324,40.686371
293,ny,ny3299,E 98 St & Park Ave,-73.95206,40.78813
294,ny,ny330,Reade St & Broadway,-74.00562789,40.71450451
295,ny,ny3300,Prospect Park West & 8 St,-73.9763760566711,40.6651468153379
296,ny,ny3301,Columbus Ave & W 95 St,-73.968087,40.7919557
297,ny,ny3302,Columbus Ave & W 103 St,-73.9643412291,40.7969347
298,ny,ny3303,Butler St & Court St,-73.99440329,40.6849894
299,ny,ny3304,6 Ave & 9 St,-73.98377641,40.668127
300,ny,ny3305,E 91 St & 2 Ave,-73.9496558904648,40.7811222993417
301,ny,ny3306,10 St & 7 Ave,-73.98199886,40.6662078
302,ny,ny3307,West End Ave & W 94 St,-73.974124,40.7941654
303,ny,ny3308,Kane St & Clinton St,-73.99645295,40.6861758
304,ny,ny3309,E 97 St & 3 Ave,-73.94860294,40.7859201
305,ny,ny331,Pike St & Monroe St,-73.99193043,40.71173107
306,ny,ny3310,14 St & 7 Ave,-73.98396846,40.663779
307,ny,ny3311,Columbia St & Kane St,-74.0016256,40.68763155
308,ny,ny3312,1 Ave & E 94 St,-73.94594,40.7817212
309,ny,ny3313,6 Ave & 12 St,-73.9854617,40.6663181
310,ny,ny3314,W 95 St & Broadway,-73.971888,40.7937704
311,ny,ny3315,Henry St & Degraw St,-73.99917254,40.6847514
312,ny,ny3317,10 St & 5 Ave,-73.98700053,40.6686273
313,ny,ny3318,2 Ave & E 96 St,-73.9471673,40.7839636
314,ny,ny3319,14 St & 5 Ave,-73.98895053,40.666287
315,ny,ny332,Cherry St,-73.97948148,40.71219906
316,ny,ny3320,Central Park West & W 100 St,-73.9628684520721,40.7940666081855
317,ny,ny3321,Clinton St & Union St,-73.99785267,40.6831164
318,ny,ny3322,12 St & 4 Ave,-73.9904394,40.668603
319,ny,ny3323,W 106 St & Central Park West,-73.9605909006,40.7981856
320,ny,ny3324,3 Ave & 14 St,-73.99333264,40.6685455
321,ny,ny3325,E 95 St & 3 Ave,-73.950503,40.7849032
322,ny,ny3326,Clinton St & Centre St,-74.00194698,40.67434
323,ny,ny3327,3 Ave & E 100 St,-73.94728331,40.7877214
324,ny,ny3328,W 100 St & Manhattan Ave,-73.9645,40.795
325,ny,ny3329,Degraw St & Smith St,-73.99318208,40.6829151
326,ny,ny3330,Henry St & Bay St,-74.00494695,40.6725058
327,ny,ny3331,Riverside Dr & W 104 St,-73.9711457439,40.8013434
328,ny,ny3332,Degraw St & Hoyt St,-73.9907902479172,40.681990442707
329,ny,ny3333,Columbia St & Lorraine St,-74.0075572,40.6747055
330,ny,ny3335,Union St & 4 Ave,-73.98282002,40.6772744
331,ny,ny3336,E 97 St & Madison Ave,-73.953559,40.787801
332,ny,ny3337,Dwight St & Van Dyke St,-74.0119555592537,40.673635513415
333,ny,ny3338,2 Ave & E 99 St,-73.94552579,40.7862586
334,ny,ny3339,Berkeley Pl & 6 Ave,-73.97846879,40.6765304
335,ny,ny334,W 20 St & 7 Ave,-73.99726235,40.74238787
336,ny,ny3340,Wolcott St & Dwight St,-74.0100698,40.6753274
337,ny,ny3341,Central Park West & W 102 St,-73.96186,40.795346
338,ny,ny3342,Pioneer St & Richards St,-74.0094613,40.6777748
339,ny,ny3343,W 107 St & Columbus Ave,-73.9621128676,40.7997568
340,ny,ny3344,Pioneer St & Van Brunt St,-74.011169,40.679043
341,ny,ny3345,Madison Ave & E 99 St,-73.9524292945862,40.7894854155321
342,ny,ny3346,Berkeley Pl & 7 Ave,-73.9752320945263,40.6751468387098
343,ny,ny3347,Van Brunt St & Wolcott St,-74.01275056,40.6773429
344,ny,ny3348,Coffey St & Conover St,-74.015665,40.677236
345,ny,ny3349,Grand Army Plaza & Plaza St West,-73.97087984,40.6729679
346,ny,ny335,Washington Pl & Broadway,-73.99404649,40.72903917
347,ny,ny3350,W 100 St & Broadway,-73.97041192,40.7973721
348,ny,ny3351,E 102 St & 1 Ave,-73.94164802,40.7869946
349,ny,ny3352,Sigourney St & Columbia St,-74.0087952464819,40.6726724341095
350,ny,ny3354,3 St & Prospect Park West,-73.97363831,40.668132
351,ny,ny3355,E 66 St & Madison Ave,-73.9684528112411,40.7680088930595
352,ny,ny3356,Amsterdam Ave & W 66 St,-73.98470567,40.7746671
353,ny,ny3357,W 106 St & Amsterdam Ave,-73.9664492472,40.8008363
354,ny,ny3358,Garfield Pl & 8 Ave,-73.97484126,40.6711978
355,ny,ny3359,E 68 St & Madison Ave,-73.96703464,40.7691572
356,ny,ny336,Sullivan St & Washington Sq,-73.99906065,40.73047747
357,ny,ny3360,Amsterdam Ave & W 79 St,-73.9786517,40.7829391
358,ny,ny3361,Carroll St & 6 Ave,-73.9787282,40.6740886
359,ny,ny3362,Madison Ave & E 82 St,-73.96069399,40.7781314
360,ny,ny3363,E 102 St & Park Ave,-73.95033068,40.7904828
361,ny,ny3364,Carroll St & 5 Ave,-73.9814832,40.6751622
362,ny,ny3365,3 St & 7 Ave,-73.97839676,40.6703837
363,ny,ny3366,West End Ave & W 107 St,-73.9681805305,40.8021174
364,ny,ny3367,5 Ave & E 103 St,-73.95249933,40.7922553
365,ny,ny3368,5 Ave & 3 St,-73.98352355,40.6728155
366,ny,ny3369,E 82 St & East End Ave,-73.9468208,40.7724607
367,ny,ny3370,E 78 St & 2 Ave,-73.95577801,40.7727966
368,ny,ny3372,E 74 St & 1 Ave,-73.95482273,40.7689738
369,ny,ny3373,3 St & 3 Ave,-73.98775226,40.6750705
370,ny,ny3374,Central Park North & Adam Clayton Powell Blvd,-73.955613,40.799484
371,ny,ny3375,3 Ave & E 72 St,-73.96060712,40.7699426
372,ny,ny3376,E 65 St & 2 Ave,-73.962220698595,40.7647185194434
373,ny,ny3377,Carroll St & Bond St,-73.99037292,40.6786115
374,ny,ny3378,E 76 St & Park Ave,-73.96222088,40.773763
375,ny,ny3379,E 103 St & Lexington Ave,-73.94755757,40.7903051
376,ny,ny3381,3 St & Hoyt St,-73.99364123,40.6777287
377,ny,ny3382,Carroll St & Smith St,-73.99475825,40.680611
378,ny,ny3383,Cathedral Pkwy & Broadway,-73.96699104,40.804213
379,ny,ny3384,Smith St & 3 St,-73.99599099,40.6787242
380,ny,ny3386,1 Pl & Clinton St,-73.99905709,40.6809591
381,ny,ny3387,E 106 St & Madison Ave,-73.94945003,40.7934337
382,ny,ny3388,President St & Henry St,-73.99990419,40.6828003
383,ny,ny3389,Carroll St & Columbia St,-74.00348559,40.6830456
384,ny,ny339,Avenue D & E 12 St,-73.97422494,40.72580614
385,ny,ny3390,E 109 St & 3 Ave,-73.9432083,40.79329668
386,ny,ny3391,E 106 St & 1 Ave,-73.93956237,40.7892529
387,ny,ny3392,Commerce St & Van Brunt St,-74.00860912,40.6812117
388,ny,ny3393,Richards St & Delavan St,-74.00785041,40.6794327
389,ny,ny3394,Columbia St & W 9 St,-74.00647134,40.6769993
390,ny,ny3395,Henry St & W 9 St,-74.00324957,40.6763744
391,ny,ny3396,Clinton St & 4 Place,-74.00014502,40.6783563
