areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2023-06-14,45_49,0,2,0.1
E92000001,England,nation,2023-06-14,50_54,0,1,0.0
E92000001,England,nation,2023-06-14,55_59,1,5,0.1
E92000001,England,nation,2023-06-14,60+,29,199,1.5
E92000001,England,nation,2023-06-14,60_64,0,9,0.3
E92000001,England,nation,2023-06-14,65_69,1,16,0.6
E92000001,England,nation,2023-06-14,70_74,3,23,0.8
E92000001,England,nation,2023-06-14,75_79,5,29,1.4
E92000001,England,nation,2023-06-14,80_84,5,47,3.2
E92000001,England,nation,2023-06-14,85_89,4,31,3.5
E92000001,England,nation,2023-06-14,90+,11,44,8.4
E92000001,England,nation,2023-06-13,00_04,0,1,0.0
E92000001,England,nation,2023-06-13,00_59,3,11,0.0
E92000001,England,nation,2023-06-13,05_09,0,0,0.0
E92000001,England,nation,2023-06-13,10_14,0,0,0.0
E92000001,England,nation,2023-06-13,15_19,0,1,0.0
E92000001,England,nation,2023-06-13,20_24,0,0,0.0
E92000001,England,nation,2023-06-13,25_29,0,0,0.0
E92000001,England,nation,2023-06-13,30_34,0,0,0.0
E92000001,England,nation,2023-06-13,35_39,0,0,0.0
E92000001,England,nation,2023-06-13,40_44,0,0,0.0
E92000001,England,nation,2023-06-13,45_49,2,2,0.1
E92000001,England,nation,2023-06-13,50_54,1,2,0.1
E92000001,England,nation,2023-06-13,55_59,0,5,0.1
E92000001,England,nation,2023-06-13,60+,26,201,1.5
E92000001,England,nation,2023-06-13,60_64,2,9,0.3
E92000001,England,nation,2023-06-13,65_69,4,20,0.7
E92000001,England,nation,2023-06-13,70_74,2,24,0.9
E92000001,England,nation,2023-06-13,75_79,3,27,1.3
E92000001,England,nation,2023-06-13,80_84,4,48,3.3
E92000001,England,nation,2023-06-13,85_89,2,31,3.5
E92000001,England,nation,2023-06-13,90+,9,42,8.1
E92000001,England,nation,2023-06-12,00_04,1,1,0.0
E92000001,England,nation,2023-06-12,00_59,1,11,0.0
E92000001,England,nation,2023-06-12,05_09,0,0,0.0
E92000001,England,nation,2023-06-12,10_14,0,0,0.0
E92000001,England,nation,2023-06-12,15_19,0,1,0.0
E92000001,England,nation,2023-06-12,20_24,0,0,0.0
E92000001,England,nation,2023-06-12,25_29,0,0,0.0
E92000001,England,nation,2023-06-12,30_34,0,0,0.0
E92000001,England,nation,2023-06-12,35_39,0,0,0.0
E92000001,England,nation,2023-06-12,40_44,0,0,0.0
E92000001,England,nation,2023-06-12,45_49,0,0,0.0
E92000001,England,nation,2023-06-12,50_54,0,1,0.0
E92000001,England,nation,2023-06-12,55_59,0,8,0.2
E92000001,England,nation,2023-06-12,60+,28,210,1.5
E92000001,England,nation,2023-06-12,60_64,3,9,0.3
E92000001,England,nation,2023-06-12,65_69,1,18,0.6
E92000001,England,nation,2023-06-12,70_74,2,26,0.9
E92000001,England,nation,2023-06-12,75_79,2,30,1.5
E92000001,England,nation,2023-06-12,80_84,8,51,3.5
E92000001,England,nation,2023-06-12,85_89,5,32,3.6
E92000001,England,nation,2023-06-12,90+,7,44,8.4
E92000001,England,nation,2023-06-11,00_04,0,0,0.0
E92000001,England,nation,2023-06-11,00_59,2,15,0.0
E92000001,England,nation,2023-06-11,05_09,0,0,0.0
E92000001,England,nation,2023-06-11,10_14,0,0,0.0
E92000001,England,nation,2023-06-11,15_19,0,1,0.0
E92000001,England,nation,2023-06-11,20_24,0,1,0.0
E92000001,England,nation,2023-06-11,25_29,0,1,0.0
E92000001,England,nation,2023-06-11,30_34,0,0,0.0
E92000001,England,nation,2023-06-11,35_39,0,0,0.0
E92000001,England,nation,2023-06-11,40_44,0,0,0.0
E92000001,England,nation,2023-06-11,45_49,0,2,0.1
E92000001,England,nation,2023-06-11,50_54,0,2,0.1
E92000001,England,nation,2023-06-11,55_59,2,8,0.2
E92000001,England,nation,2023-06-11,60+,32,209,1.5
E92000001,England,nation,2023-06-11,60_64,0,7,0.2
E92000001,England,nation,2023-06-11,65_69,2,17,0.6
E92000001,England,nation,2023-06-11,70_74,3,27,1.0
