areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2023-06-18,85+,16023.8,225360
E92000001,England,nation,2023-06-17,18_to_64,1044.7,355137
E92000001,England,nation,2023-06-17,6_to_17,179.9,14688
E92000001,England,nation,2023-06-17,0_to_5,577.5,22686
E92000001,England,nation,2023-06-17,65_to_84,4647.9,420988
E92000001,England,nation,2023-06-17,85+,16020.2,225309
E92000001,England,nation,2023-06-16,18_to_64,1044.7,355121
E92000001,England,nation,2023-06-16,6_to_17,179.9,14687
E92000001,England,nation,2023-06-16,0_to_5,577.4,22685
E92000001,England,nation,2023-06-16,65_to_84,4647.2,420921
E92000001,England,nation,2023-06-16,85+,16017.4,225270
E92000001,England,nation,2023-06-15,18_to_64,1044.6,355089
E92000001,England,nation,2023-06-15,6_to_17,179.9,14687
E92000001,England,nation,2023-06-15,0_to_5,577.4,22683
E92000001,England,nation,2023-06-15,65_to_84,4646.6,420871
E92000001,England,nation,2023-06-15,85+,16015.2,225239
E92000001,England,nation,2023-06-14,18_to_64,1044.5,355046
E92000001,England,nation,2023-06-14,6_to_17,179.9,14686
E92000001,England,nation,2023-06-14,0_to_5,577.3,22679
E92000001,England,nation,2023-06-14,65_to_84,4645.9,420808
E92000001,England,nation,2023-06-14,85+,16011.7,225190
E92000001,England,nation,2023-06-13,18_to_64,1044.3,355004
E92000001,England,nation,2023-06-13,6_to_17,179.9,14686
E92000001,England,nation,2023-06-13,0_to_5,577.1,22674
E92000001,England,nation,2023-06-13,65_to_84,4644.7,420701
E92000001,England,nation,2023-06-13,85+,16007.6,225132
E92000001,England,nation,2023-06-12,18_to_64,1044.2,354949
E92000001,England,nation,2023-06-12,6_to_17,179.9,14685
E92000001,England,nation,2023-06-12,0_to_5,577.1,22672
E92000001,England,nation,2023-06-12,65_to_84,4643.3,420573
E92000001,England,nation,2023-06-12,85+,16003.3,225072
E92000001,England,nation,2023-06-11,18_to_64,1044.0,354895
E92000001,England,nation,2023-06-11,6_to_17,179.8,14684
E92000001,England,nation,2023-06-11,0_to_5,576.9,22666
E92000001,England,nation,2023-06-11,65_to_84,4642.2,420470
E92000001,England,nation,2023-06-11,85+,15999.1,225013
E92000001,England,nation,2023-06-10,18_to_64,1043.9,354844
E92000001,England,nation,2023-06-10,6_to_17,179.8,14684
E92000001,England,nation,2023-06-10,0_to_5,576.8,22662
E92000001,England,nation,2023-06-10,65_to_84,4640.7,420337
E92000001,England,nation,2023-06-10,85+,15994.6,224949
E92000001,England,nation,2023-06-09,18_to_64,1043.8,354810
E92000001,England,nation,2023-06-09,6_to_17,179.8,14683
E92000001,England,nation,2023-06-09,0_to_5,576.7,22657
E92000001,England,nation,2023-06-09,65_to_84,4639.7,420243
E92000001,England,nation,2023-06-09,85+,15991.3,224903
E92000001,England,nation,2023-06-08,18_to_64,1043.6,354766
E92000001,England,nation,2023-06-08,6_to_17,179.8,14682
E92000001,England,nation,2023-06-08,0_to_5,576.5,22649
E92000001,England,nation,2023-06-08,65_to_84,4638.7,420156
E92000001,England,nation,2023-06-08,85+,15988.2,224860
E92000001,England,nation,2023-06-07,18_to_64,1043.5,354715
E92000001,England,nation,2023-06-07,6_to_17,179.8,14679
E92000001,England,nation,2023-06-07,0_to_5,576.3,22639
E92000001,England,nation,2023-06-07,65_to_84,4637.5,420043
E92000001,England,nation,2023-06-07,85+,15982.7,224782
E92000001,England,nation,2023-06-06,18_to_64,1043.3,354656
E92000001,England,nation,2023-06-06,6_to_17,179.7,14675
