areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2023-08-02,05_09,6,24,0.7
E92000001,England,nation,2023-08-02,10_14,4,36,1.0
E92000001,England,nation,2023-08-02,15_19,8,52,1.7
E92000001,England,nation,2023-08-02,20_24,25,152,4.4
E92000001,England,nation,2023-08-02,25_29,31,182,4.8
E92000001,England,nation,2023-08-02,30_34,49,231,6.0
E92000001,England,nation,2023-08-02,35_39,36,259,6.9
E92000001,England,nation,2023-08-02,40_44,44,299,8.6
E92000001,England,nation,2023-08-02,45_49,44,326,9.0
E92000001,England,nation,2023-08-02,50_54,77,464,12.0
E92000001,England,nation,2023-08-02,55_59,80,449,11.9
E92000001,England,nation,2023-08-02,60+,378,2522,18.5
E92000001,England,nation,2023-08-02,60_64,65,434,13.6
E92000001,England,nation,2023-08-02,65_69,68,432,15.5
E92000001,England,nation,2023-08-02,70_74,64,434,15.4
E92000001,England,nation,2023-08-02,75_79,65,439,21.8
E92000001,England,nation,2023-08-02,80_84,42,305,21.0
E92000001,England,nation,2023-08-02,85_89,40,275,31.1
E92000001,England,nation,2023-08-02,90+,34,203,39.0
E92000001,England,nation,2023-08-02,unassigned,0,0,
E92000001,England,nation,2023-08-01,00_04,17,118,3.6
E92000001,England,nation,2023-08-01,00_59,411,2485,5.8
E92000001,England,nation,2023-08-01,05_09,4,19,0.5
E92000001,England,nation,2023-08-01,10_14,7,35,1.0
E92000001,England,nation,2023-08-01,15_19,10,60,1.9
E92000001,England,nation,2023-08-01,20_24,23,147,4.2
E92000001,England,nation,2023-08-01,25_29,33,177,4.7
E92000001,England,nation,2023-08-01,30_34,36,212,5.5
E92000001,England,nation,2023-08-01,35_39,49,248,6.6
E92000001,England,nation,2023-08-01,40_44,50,292,8.4
E92000001,England,nation,2023-08-01,45_49,48,318,8.7
E92000001,England,nation,2023-08-01,50_54,66,439,11.3
E92000001,England,nation,2023-08-01,55_59,68,420,11.2
E92000001,England,nation,2023-08-01,60+,426,2446,17.9
E92000001,England,nation,2023-08-01,60_64,73,420,13.1
