ucl_id,x,y
725,529353.9776462293,177016.05265979888
726,528516.0238050986,176742.0060328829
727,524697.0171619083,176718.9915838922
728,524708.9848888972,175194.98906056985
729,524507.0193201301,177074.9677882006
730,523038.98840138805,178502.00956826244
731,525850.0315315659,176922.96046234883
732,532844.9990469877,180330.95528927125
733,528437.0208847399,180119.9704651466
734,526850.0112211959,175282.03942655004
735,527008.0174627254,175573.95167848608
736,523903.03233934456,180136.9633612362
737,525501.9943799584,177210.01365156088
738,525989.9980580644,176688.96963663452
739,526110.9781524778,177429.03199103137
740,523995.98217974254,180622.033741238
741,523650.9716784432,180841.9562484058
742,524403.0319113748,181096.98259803466
743,524269.9773958457,175049.9527292641
744,527052.032420621,175860.0190568776
745,526318.0300065115,177034.03314448823
746,526549.9657001514,177196.02233728755
747,527726.0103930982,178158.99232298497
748,533313.9875127472,183790.00640471565
749,533648.9743296155,184027.04861356044
750,528045.0037126185,176290.04587680462
751,530482.025409496,181363.04386811645
752,524736.0305709001,174769.04074687284
753,522692.00731461874,178555.0486558794
754,523978.9753093687,180841.04505202797
755,526816.9910930726,177820.0115011558
756,527941.984281933,176739.00334199698
757,525945.9625598264,178114.05226936127
758,524920.0258231281,181416.99697427318
759,527352.9755040819,182222.03563190077
760,527480.9981183382,182304.02876892005
761,524260.9742357129,177544.968657004
762,529915.9957104813,179631.99582857144
763,536597.9661834914,182020.98541949206
764,527344.0066450407,175304.05149786995
765,524653.0249739953,175816.95584242884
766,525698.9725045854,174721.95008823555
767,525100.0189323312,174655.01532694465
768,527970.0301014098,175203.02187484317
769,525680.034025945,176510.94884943333
770,524429.9775558785,178418.0121735892
771,523901.9997257873,180430.02527001785
772,530472.9908761997,176509.05052399548
773,531435.0315042797,180916.00994070346
774,524798.0284561864,176102.02329297474
775,523391.0160473238,179020.04254796094
776,527437.4730332844,175077.1679994124
777,527553.2911244695,175256.99195372878
779,533520.995726055,181255.0385798475
780,526277.0099303678,176643.0062294033
781,526986.8045285222,179107.33725766692
782,525248.628511211,177646.40829689655
783,537297.4285901032,184233.79556928115
784,538090.2168456301,184924.4526126781
785,538066.5668598427,184324.54179517046
786,537680.0697024086,185252.05968040746
787,537759.014003426,184968.7575696308
788,537429.7775017314,184740.82515054062
789,537977.7274316406,184074.85244930902
790,538459.3047285093,184430.16440038063
792,531648.3923010114,180206.01666123042
793,530540.9691660372,182716.57304129825
794,530345.7366847333,176734.6840308145
795,529482.6099519999,182602.79888659518
796,530077.9447336061,182228.54142731125
